"id","conversation","qa_index","category","question","gold","our_answer","no_binding_answer","our_f1_pct","no_binding_f1_pct","delta_pp","our_read_tokens","no_binding_read_tokens","our_stored_tokens","no_binding_stored_tokens","no_binding_finish_reason"
"conv-41:141","conv-41","141","4","Who did John work with to raise awareness and funds for victims of domestic abuse?","a local organization","a local organization","a local organization","100","100","0","2028","2046","71231","69214","stop"
"conv-41:142","conv-41","142","4","What recognition did Maria receive at the homeless shelter in August 2023?","a medal for volunteering","a medal","a medal","50","50","0","1946","2039","71231","69214","stop"
"conv-41:143","conv-41","143","4","What is the name of Maria's puppy she got two weeks before August 11, 2023?","Coco","Coco","Coco","100","100","0","2047","2029","71231","69214","stop"
"conv-41:144","conv-41","144","4","What activity did John and Max enjoy together last summer?","Camping","camping","camping","100","100","0","1969","2044","71231","69214","stop"
"conv-41:145","conv-41","145","4","How does John describe the camping trip with Max?","Peaceful and awesome","peaceful and awesome","peaceful, awesome, chill, great","100","66.66666666666666","-33.333333333333336","1933","2042","71231","69214","stop"
"conv-41:146","conv-41","146","4","Why does John say he feels stuck and questioning his decisions and goals?","Not feeling like making much of an impact","He feels he is not making much of an impact.","He feels he is not making much of an impact.","75","75","0","2018","2048","71231","69214","stop"
"conv-41:147","conv-41","147","4","What is the name of Maria's second puppy?","Shadow","Shadow","Shadow","100","100","0","2043","2031","71231","69214","stop"
"conv-41:148","conv-41","148","4","How is Maria's new puppy adjusting to its new home?","doing great - learning commands and house training","learning commands and house training","learning commands and house training","80","80","0","1976","2045","71231","69214","stop"
"conv-41:149","conv-41","149","4","What is John currently doing as a volunteer in August 2023?","mentoring students at a local school","unknown","mentor for a local school","0","66.66666666666666","66.66666666666666","1957","2036","71231","69214","stop"
"conv-41:150","conv-41","150","4","What activities does John's family enjoy doing together?","going for hikes, hanging out at the park, having picnics, playing board games, having movie nights","hiking, hanging out at the park, having picnics, playing board games, having movie nights, climbing, sliding, playing games at the playground","hiking, hanging out at the park, having picnics, playing board games, having movie nights, climbing, sliding, playing games","76.47058823529412","81.25","4.779411764705888","2010","2033","71231","69214","stop"
"conv-41:151","conv-41","151","4","What did the donations help John's community acquire on 16 August, 2023?","a brand new fire truck","a brand new fire truck","a brand new fire truck","100","100","0","1999","2036","71231","69214","stop"
"conv-42:0","conv-42","0","3","Is it likely that Nate has friends besides Joanna?","Yesteammates on hisvideo game team.","Yes","Yes","0","0","0","2031","2043","63303","61369","stop"
"conv-42:1","conv-42","1","1","What kind of interests do Joanna and Nate share?","Watching movies, making desserts","writing, reading, watching movies, exploring nature, playing video games","movies, video games","50","33.33333333333333","-16.666666666666668","2019","2047","63303","61369","stop"
"conv-42:2","conv-42","2","2","When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?","2019","approximately 2019","unknown","66.66666666666666","0","-66.66666666666666","2035","2034","63303","61369","stop"
"conv-42:3","conv-42","3","2","When did Nate win his first video game tournament?","the week before 21Janury, 2022","January 2022 (the preceding week)","January 2022 (the preceding week)","50","50","0","2039","2048","63303","61369","stop"
"conv-42:4","conv-42","4","3","What pets wouldn't cause any discomfort to Joanna?","Hairless cats or pigs,since they don't have fur, which is one of the main causes of Joanna's allergy.","unknown","unknown","0","0","0","2027","2048","63303","61369","stop"
"conv-42:5","conv-42","5","1","What are Joanna's hobbies?","Writing, watchingmovies, exploringnature, hanging withfriends.","writing, reading, watching movies, exploring nature","writing, reading, watching movies, exploring nature","25","25","0","2047","2034","63303","61369","stop"
"conv-42:6","conv-42","6","2","How long has Nate had his first two turtles?","three years","3 years","3 years","50","50","0","2030","2033","63303","61369","stop"
"conv-42:7","conv-42","7","2","When did Joanna finish her first screenplay?","The Friday before 23January, 2022","last Friday","23 January 2022","33.33333333333333","28.57142857142857","-4.761904761904762","2018","2048","63303","61369","stop"
"conv-42:8","conv-42","8","2","When did Nate get his first two turtles?","2019","23 January 2019","3 years before 23 January 2022","50","0","-50","1966","2046","63303","61369","stop"
"conv-42:9","conv-42","9","2","What major achievement did Joanna accomplish in January 2022?","finished her screenplay and printed it","finished her first full screenplay","finished her first full screenplay and printed it","60","83.33333333333334","23.33333333333334","2003","2048","63303","61369","stop"
"conv-42:10","conv-42","10","1","What emotions is Joanna feeling about  the screenplay she submitted?","Relief, excitement,worry, hope,anxiety.","relief, excitement, some anxiety","excited, anxious, relief, excitement, worry","53.333333333333336","60","6.666666666666665","1961","2044","63303","61369","stop"
"conv-42:11","conv-42","11","1","What is Joanna allergic to?","Most reptiles,animals with fur,cockroaches, dairy","certain animals, most reptiles, animals with fur, cockroaches, turtles","reptiles, animals with fur, cockroaches, turtles","75","66.66666666666666","-8.333333333333337","2042","2047","63303","61369","stop"
"conv-42:12","conv-42","12","3","What underlying condition might Joanna have based on her allergies?","asthma","unknown","Lactose intolerance","0","0","0","2047","2045","63303","61369","stop"
"conv-42:13","conv-42","13","2","When did Joanna have an audition for a writing gig?","23 March, 2022.","23 March 2022","23 March 2022","100","100","0","1999","2027","63303","61369","stop"
"conv-42:14","conv-42","14","3","What nickname does Nate use for Joanna?","Jo","unknown","unknown","0","0","0","1996","2032","63303","61369","stop"
"conv-42:15","conv-42","15","2","When did Nate get purple hair?","The week before 15April, 2022.","April 2022 (the preceding week)","April 2022 (the preceding week)","50","50","0","1967","2032","63303","61369","stop"
"conv-42:16","conv-42","16","2","What physical transformation did Nate undergo in April 2022?","dyed his hair purple","dyed his hair purple","dyed his hair purple","100","100","0","2012","2048","63303","61369","stop"
"conv-42:17","conv-42","17","2","What movie did Joanna watch on 1 May, 2022?","Lord of the Rings","unknown","The Lord of the Rings Trilogy","0","85.71428571428571","85.71428571428571","2046","2038","63303","61369","stop"
"conv-42:18","conv-42","18","2","Which outdoor spot did Joanna visit in May?","Whispering Falls waterfall","Whispering Falls","Whispering Falls","80","80","0","2043","2046","63303","61369","stop"
"conv-42:19","conv-42","19","1","How many times has Joanna found new hiking trails?","twice","2","3","0","0","0","2008","2047","63303","61369","stop"
"conv-42:20","conv-42","20","2","When did Nate adopt Max?","May 2022","unknown","unknown","0","0","0","2042","2044","63303","61369","stop"
"conv-42:21","conv-42","21","2","Who was the new addition to Nate's family in May 2022?","Max","Max","Max","100","100","0","2044","2047","63303","61369","stop"
"conv-42:22","conv-42","22","2","When did Joanna start writing her third screenplay?","May 2022","25 February 2022","unknown","40","0","-40","2026","2042","63303","61369","stop"
"conv-42:23","conv-42","23","1","Which of Joanna's screenplay were rejected from production companies?","first screenplay on drama and romance, third screenplay on loss identity and connection","unknown","unknown","0","0","0","2043","2048","63303","61369","stop"
"conv-42:24","conv-42","24","2","When is Nate hosting a gaming party?","The weekend after 3June, 2022.","24 June 2022","19 June 2022","28.57142857142857","28.57142857142857","0","2036","2048","63303","61369","stop"
"conv-42:25","conv-42","25","2","When did Joanna hike with her buddies?","The weekend after 3June, 2022.","3 June 2022","this weekend (relative to 3 June 2022)","28.57142857142857","36.36363636363637","7.792207792207795","1989","2046","63303","61369","stop"
"conv-42:26","conv-42","26","2","When did Nate win his third tourney?","The week before 3June, 2022","unknown","9 November 2022","0","28.57142857142857","28.57142857142857","2034","2037","63303","61369","stop"
"conv-42:27","conv-42","27","1","What places has Joanna submitted her work to?","film contest, film festival.","unknown","film contest, film festivals","0","100","100","2033","2042","63303","61369","stop"
"conv-42:28","conv-42","28","2","When did Nate make vegan icecream and share it with a vegan diet group?","The Friday before 24June, 2022.","24 June 2022","24 June 2022","28.57142857142857","28.57142857142857","0","2017","2031","63303","61369","stop"
"conv-42:29","conv-42","29","2","When is Joanna going to make Nate's ice cream for her family?","The weekend of 24June, 2022.","25 June 2022","unknown","28.57142857142857","0","-28.57142857142857","1997","2046","63303","61369","stop"
"conv-42:30","conv-42","30","1","What kind of writings does Joanna do?","Screenplays,books, online blog posts, journal","screenplays, early writings","screenplays, books","25","50","25","2043","2046","63303","61369","stop"
"conv-42:31","conv-42","31","2","When did Nate win his fourth video game tournament?","The Friday before 10July, 2022.","Friday, 10 July, 2022","Friday, 10 July, 2022","50","50","0","1998","2046","63303","61369","stop"
"conv-42:32","conv-42","32","2","Where did Joanna travel to in July 2022?","Woodhaven","Woodhaven","Woodhaven","100","100","0","1990","2033","63303","61369","stop"
"conv-42:33","conv-42","33","2","When did someone write Joanna a touching letter?","The week before 14August, 2022.","August 2022 (the preceding week)","August 2022 (the preceding week)","50","50","0","2042","2041","63303","61369","stop"
"conv-42:34","conv-42","34","1","What book recommendations has Joanna given to Nate?","""Little Women"",'A Court of Thorns andRoses'.","romantic drama about memory and relationships, fantasy book series","fantasy book series","0","0","0","2007","2027","63303","61369","stop"
"conv-42:35","conv-42","35","2","When did Nate take time off to chill with his pets?","The weekend of 22August, 2022.","22 August 2022","22 August 2022","28.57142857142857","28.57142857142857","0","1984","2043","63303","61369","stop"
"conv-42:36","conv-42","36","2","When did Joanna share her book with her writers group?","The week before 22August, 2022.","22 August 2022","August 2022 (the preceding week)","28.57142857142857","50","21.42857142857143","2012","2048","63303","61369","stop"
"conv-42:37","conv-42","37","2","When did Nate win an international tournament?","21 August, 2022","21 August 2022","21 August 2022","100","100","0","2017","2036","63303","61369","stop"
"conv-42:38","conv-42","38","2","When did Joanna make a desert with almond milk?","The Friday before 14September, 2022","14 September 2022","14 September 2022","28.57142857142857","28.57142857142857","0","1994","2042","63303","61369","stop"
"conv-42:39","conv-42","39","2","When did Nate attend a cooking show?","The Monday before 14September, 2022","14 September 2022","14 September 2022","28.57142857142857","28.57142857142857","0","1975","2048","63303","61369","stop"
"conv-42:40","conv-42","40","2","When did Joanna's laptop crash?","The week before 14September, 2022","September 2022 (the preceding week)","September 2022 (the preceding week)","50","50","0","2004","2045","63303","61369","stop"
"conv-42:41","conv-42","41","2","When did Joanna make a chocolate tart with raspberries?","5 October, 2022","14 September 2022","Unknown","33.33333333333333","0","-33.33333333333333","1993","2039","63303","61369","stop"
"conv-42:42","conv-42","42","1","What movies have both Joanna and Nate seen?","""Little Women"", ""Lord of the Rings""","Little Women","Little Women","50","50","0","2048","2034","63303","61369","stop"
"conv-42:43","conv-42","43","2","How long did it take for Joanna to finish writing her book?","four months","unknown","unknown","0","0","0","2006","2036","63303","61369","stop"
"conv-42:44","conv-42","44","2","When did Nate win a lot of money in a video game tournament?","September 2022","10 July 2022","6 October 2022","40","40","0","1988","2048","63303","61369","stop"
"conv-42:45","conv-42","45","2","When did Joanna finish up the writing for her book?","The week before 6October, 2022","26 September 2022 to 2 October 2022","26 September 2022 to 2 October 2022","18.181818181818183","18.181818181818183","0","2044","2043","63303","61369","stop"
"conv-42:46","conv-42","46","1","What board games has Nate played?","Chess, Catan.","Catan, Chess","Catan","100","50","-50","1968","2047","63303","61369","stop"
"conv-42:47","conv-42","47","1","What places has Nate met new people?","A tournament and agaming convention.","game convention, tournament","game convention, gaming party","50","40","-9.999999999999998","2013","2047","63303","61369","stop"
"conv-42:48","conv-42","48","2","When did Nate go to a convention and meet new people?","The Friday before 9October, 2022.","9 October 2022","Last Friday (relative to 9 October 2022)","28.57142857142857","36.36363636363637","7.792207792207795","2009","2037","63303","61369","stop"
"conv-42:49","conv-42","49","1","How many times has Joanna's scripts been rejected?","Twice","unknown","2","0","0","0","2038","2035","63303","61369","stop"
"conv-42:50","conv-42","50","1","What is something Nate gave to Joanna that brings her a lot of joy?","stuffed toy pup","unknown","unknown","0","0","0","2044","2042","63303","61369","stop"
"conv-42:51","conv-42","51","1","When did Nate get Tilly for Joanna?","25 May, 2022","unknown","unknown","0","0","0","2028","2033","63303","61369","stop"
"conv-42:52","conv-42","52","1","How many of Joanna's writing have made it to the big screen?","two","3","3","0","0","0","2021","2033","63303","61369","stop"
"conv-42:53","conv-42","53","1","How many times has Nate taken his turtles on a walk?","Twice.","unknown","2","0","0","0","2005","2030","63303","61369","stop"
"conv-42:54","conv-42","54","2","When was Joanna's second movie script shown on the big screens?","The Sunday before 25October, 2022.","unknown","unknown","0","0","0","2018","2035","63303","61369","stop"
"conv-42:55","conv-42","55","1","What is Joanna inspired by?","Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination","personal experiences, her own journey of self-discovery, people she knows, stuff she saw, what she imagined, seeing her characters come alive, nature, cool places","personal experiences, her own journey of self-discovery, people she knows, stuff she saw, what she imagined, her bookshelf, Nate's encouragement, and her life path.","52.96296296296297","49.25925925925927","-3.7037037037037033","2011","2039","63303","61369","stop"
"conv-42:56","conv-42","56","1","What animal do both Nate and Joanna like?","Turtles.","turtles","Dogs","100","0","-100","2022","2031","63303","61369","stop"
"conv-42:57","conv-42","57","2","When did Joanna plan to go over to Nate's and share recipes?","5 November, 2022.","5 November 2022","5 November 2022","100","100","0","2030","2032","63303","61369","stop"
"conv-42:58","conv-42","58","1","What things has Nate reccomended to Joanna?","A pet,""The Lord of the Rings"" movies,a dragon book series,coconut flavoring,""Project Hail Mary"" book,Xenoblade Chronicles, dairy-free margarine, coconut oil","""Little Women""","Little Women, a series","0","6.25","6.25","1987","2048","63303","61369","stop"
"conv-42:59","conv-42","59","1","What does Joanna do to remember happy memories?","Hangs them on a corkboard, writes themin a notebook.","Joanna writes down her favorite memories and hangs her family photo on a cork board.","Joanna writes down her favorite memories and hangs her family photo on a cork board.","18.014705882352942","18.014705882352942","0","2048","2035","63303","61369","stop"
"conv-42:60","conv-42","60","3","What Console does Nate own?","A Nintendo Switch; since the game ""Xenoblade 2"" is made for this console.","unknown","unknown","0","0","0","2030","2029","63303","61369","stop"
"conv-42:61","conv-42","61","1","What mediums does Nate use to play games?","Gamecube, PC,Playstation.","video games, board games","video games, board games","0","0","0","2011","2033","63303","61369","stop"
"conv-42:62","conv-42","62","1","How many letters has Joanna recieved?","Two","1","2","0","0","0","2030","2045","63303","61369","stop"
"conv-42:63","conv-42","63","1","What video games does Nate play?","Valorant, Counter Strike:Global Offensive,Xenoblade Chronicles, StreetFighter, Cyberpunk 2077","Counter-Strike: Global Offensive, Cyberpunk 2077, Street Fighter, Catan","Counter-Strike: Global Offensive, Cyberpunk 2077, Street Fighter","26.666666666666668","26.666666666666668","0","2045","2033","63303","61369","stop"
"conv-42:64","conv-42","64","2","When did Nate win a big Valorant tourney?","The Saturday before 7November, 2022","7 November 2022","7 November 2022","28.57142857142857","28.57142857142857","0","2027","2045","63303","61369","stop"
"conv-42:65","conv-42","65","2","Which torunament did Nate win in the beginning of November 2022?","Valorant","Valorant tournament","unknown","66.66666666666666","0","-66.66666666666666","2028","2029","63303","61369","stop"
"conv-42:66","conv-42","66","3","What alternative career might Nate consider after gaming?","an animalkeeper at a localzoo and workingwith turtles; as heknows a great dealabout turtles andhow to care for them,and he enjoys it.","Unknown","unknown","0","0","0","2024","2037","63303","61369","stop"
"conv-42:67","conv-42","67","1","What pets does Nate have?","A dog and threeturtles.","Max, turtles","Max, turtles, tortoises","0","0","0","2039","2038","63303","61369","stop"
"conv-42:68","conv-42","68","3","How many hikes has Joanna been on?","Four","unknown","unknown","0","0","0","2017","2048","63303","61369","stop"
"conv-42:69","conv-42","69","1","How many turtles does Nate have?","Three","two","3","0","0","0","2017","2042","63303","61369","stop"
"conv-42:70","conv-42","70","1","What activities does Nate do with his turtles?","takes them onwalks, holds them,feeds themstrawberries, givesthem baths.","spending time with them, taking them out for a walk, holding them, watching them play, bringing them into the kitchen to watch him make food","holding them, taking them out for a walk, bringing them into the kitchen to watch him make food, taking them to the beach","37.5","39.285714285714285","1.785714285714285","2001","2045","63303","61369","stop"
"conv-42:71","conv-42","71","1","What do both Joanna and Nate appreciate the beauty of?","Nature","nature","nature","100","100","0","2045","2032","63303","61369","stop"
"conv-42:72","conv-42","72","2","When did Joanna plan on going to Nate's to watch him play with his turtles?","10 November, 2022","10 November 2022","10 November 2022","100","100","0","2009","2032","63303","61369","stop"
"conv-42:73","conv-42","73","3","What state did Joanna visit in summer 2021?","Indiana","Indiana","Indiana","100","100","0","2028","2034","63303","61369","stop"
"conv-42:74","conv-42","74","1","What recommendations has Nate received from Joanna?","""Eternal Sunshine of the Spotless Mind"" movie, ""A Court of Thorns and Roses"" book, pointers for making living room comfy, starting a cork board for memories, ""Little Women"" movie","unknown","None","0","0","0","2035","2047","63303","61369","stop"
"conv-42:75","conv-42","75","1","What are Nate's favorite desserts?","coconut milk icecream, dairy-free chocolate cake with berries, chocolate and mixed-berry icecream, dairy-free chocolate mousse","chocolate, mixed berry, coconut milk","coconut milk ice cream, dairy-free chocolate mousse","53.333333333333336","60.11904761904761","6.785714285714284","2002","2032","63303","61369","stop"
"conv-42:76","conv-42","76","1","How has Nate tried to disburse his vegan ice-cream recipes?","teaching others, cooking show","teaching people vegan ice cream recipes on his own cooking show, sharing it with people in his vegan diet group, and offering the recipe to Joanna","cooking show, vegan diet group","23.076923076923077","50","26.923076923076923","2036","2030","63303","61369","stop"
"conv-42:77","conv-42","77","2","When did Nate win his second tournament?","The week before 2 May, 2022.","25 April 2022","25 April 2022 to 1 May 2022","25","33.33333333333333","8.333333333333332","2045","2029","63303","61369","stop"
"conv-42:78","conv-42","78","1","How many video game tournaments has Nate participated in?","nine","unknown","unknown","0","0","0","2015","2040","63303","61369","stop"
"conv-42:79","conv-42","79","1","How many screenplays has Joanna written?","three","unknown","unknown","0","0","0","2009","2029","63303","61369","stop"
"conv-42:80","conv-42","80","1","How many tournaments has Nate won?","seven","5","unknown","0","0","0","1987","2047","63303","61369","stop"
"conv-42:81","conv-42","81","1","What recipes has Joanna made?","dairy free vanilla cake with strawberry filling and coconut cream frosting, parfait, strawberry chocolate cake, chocolate coconut cupcakes, chocolate raspberry tart, chocolate cake with raspberries, blueberry cheesecake bars","dairy-free cake with white frosting, strawberry filling, and coconut cream frosting, dairy-free vanilla with strawberry filling and coconut cream frosting, dairy-free chocolate coconut cupcakes with raspberry frosting, dessert made with blueberries, coconut milk, and a gluten-free crust","dairy-free cake with white frosting, strawberry filling, and coconut cream frosting, dessert with almond milk, dessert with blueberries, coconut milk, and a gluten-free crust, dairy-free chocolate coconut cupcakes with raspberry frosting","42.98495155638013","39.14751914751915","-3.8374324088609804","2047","2044","63303","61369","stop"
"conv-42:82","conv-42","82","1","What recipes has Nate made?","coconut milk icecream, chocolate and vanilla swirl","coconut milk ice cream, vegan ice cream, chocolate and vanilla swirl ice cream","vegan ice cream recipes, coconut milk ice cream, lactose-free ice cream using coconut milk, dairy-free chocolate cake with berries, chocolate and vanilla swirl ice cream, dairy-free chocolate coconut cupcakes with raspberry frosting","66.07142857142857","66.07142857142857","0","2015","2039","63303","61369","stop"
"conv-42:83","conv-42","83","1","What are the skills that Nate has helped others learn?","coconut milk ice cream recipe, reset high scores, tips to improve gaming skills","unknown","resetting high scores","0","33.33333333333333","33.33333333333333","2038","2046","63303","61369","stop"
"conv-42:84","conv-42","84","3","Was the first half of September 2022 a good month career-wise for Nate and Joanna? Answer yes or no.","No; because both of them faced setbacks in their career","yes","No","0","100","100","2013","2026","63303","61369","stop"
"conv-42:85","conv-42","85","3","What kind of job is Joanna beginning to preform the duties of because of her movie scripts?","filmmaker.","unknown","unknown","0","0","0","2044","2028","63303","61369","stop"
"conv-42:86","conv-42","86","2","When did Nate take his turtles to the beach?","10 November, 2022","10 November 2022","10 November 2022","100","100","0","2045","2039","63303","61369","stop"
"conv-42:87","conv-42","87","3","What state did Nate visit?","Florida","unknown","unknown","0","0","0","2029","2048","63303","61369","stop"
"conv-42:88","conv-42","88","4","What is one of Joanna's favorite movies?","""Eternal Sunshineof the Spotless Mind""","Little Women","Little Women","0","0","0","2019","2048","63303","61369","stop"
"conv-42:89","conv-42","89","4","What color did Nate choose for his hair?","purple","purple","purple","100","100","0","2045","2026","63303","61369","stop"
"conv-42:90","conv-42","90","4","What is Nate's favorite movie trilogy?","Lord of the Rings","unknown","unknown","0","0","0","1992","2039","63303","61369","stop"
"conv-42:91","conv-42","91","4","What is Nate's favorite book series about?","dragons","adventures, magic, and great characters","unknown","0","0","0","2047","2048","63303","61369","stop"
"conv-42:92","conv-42","92","4","What kind of lighting does Nate's gaming room have?","red and purple lighting","unknown","unknown","0","0","0","2003","2029","63303","61369","stop"
"conv-42:93","conv-42","93","4","What game was the second tournament that Nate won based on?","Street Fighter","Street Fighter","Street Fighter","100","100","0","2026","2044","63303","61369","stop"
"conv-42:94","conv-42","94","4","What is Joanna's third screenplay about?","loss, identity, and connection","loss, identity, and connection","loss, identity, and connection","100","100","0","2008","2027","63303","61369","stop"
"conv-42:95","conv-42","95","4","What is Nate's favorite video game?","Xenoblade Chronicles","Xeonoblade Chronicles","Unknown","50","0","-50","1975","2033","63303","61369","stop"
"conv-42:96","conv-42","96","4","What type of movies does Nate enjoy watching the most?","action and sci-fi","action, sci-fi","action, sci-fi","100","100","0","2007","2043","63303","61369","stop"
"conv-42:97","conv-42","97","4","What did Joanna just finish last Friday on 23 January, 2022?","screenplay","her first full screenplay","her first full screenplay","40","40","0","2024","2028","63303","61369","stop"
"conv-42:98","conv-42","98","4","What genre is Joanna's first screenplay?","drama and romance","drama and romance","drama and romance","100","100","0","2014","2045","63303","61369","stop"
"conv-42:99","conv-42","99","4","What are Joanna's plans for her finished screenplay in January 2022?","submit it to film festivals and get producers and directors to check it out","submit it to some film festivals","submit it to some film festivals and get producers and directors to check it out","55.55555555555556","96","40.444444444444436","2038","2041","63303","61369","stop"
"conv-42:100","conv-42","100","4","For how long has Nate had his turtles?","3 years","3 years","3 years","100","100","0","2048","2045","63303","61369","stop"
"conv-42:101","conv-42","101","4","What did Nate think of the coconut milk ice cream he made?","Super good, rich and creamy","Super good","Super good; rich and creamy","66.66666666666666","100","33.333333333333336","2048","2033","63303","61369","stop"
"conv-42:102","conv-42","102","4","Which dairy-free dessert flavors does Nate enjoy?","chocolate and mixed berry","coconut milk, chocolate, mixed berry","coconut milk, chocolate, mixed berry, chocolate mousse","75","60","-15.000000000000002","1999","2039","63303","61369","stop"
"conv-42:103","conv-42","103","4","What did Joanna recently watch and recommend to Nate on February 7, 2022?","""Little Women""","Little Women","Little Women","100","100","0","1993","2047","63303","61369","stop"
"conv-42:104","conv-42","104","4","What is ""Little Women"" about according to Joanna?","Sisterhood, love, and reaching for your dreams","sisterhood, love, and reaching for dreams","sisterhood, love, and reaching for dreams","90.9090909090909","90.9090909090909","0","1978","2042","63303","61369","stop"
"conv-42:105","conv-42","105","4","What flavor of ice cream did Nate make for his friend on 25 February, 2022?","chocolate and vanilla swirl","chocolate and vanilla swirl","chocolate and vanilla swirl","100","100","0","2027","2034","63303","61369","stop"
"conv-42:106","conv-42","106","4","What inspired Joanna's new screenplay on 25 February, 2022?","personal experiences and her own journey of self-discovery","personal experiences and her own journey of self-discovery","her own personal experiences and journey of self-discovery","100","100","0","1978","2040","63303","61369","stop"
"conv-42:107","conv-42","107","4","Why does Nate like turtles as pets?","Their slow pace and calming nature","They're unique, their slow pace is a nice change from the rush of life, they're low-maintenance, and they're calming.","They're unique, their slow pace is a nice change from the rush of life, they're low-maintenance, and they're calming.","38.095238095238095","38.095238095238095","0","2014","2048","63303","61369","stop"
"conv-42:108","conv-42","108","4","How does Nate describe the process of taking care of turtles?","Not tough; keep their area clean, feed them properly, give them enough light.","low-maintenance, calming, keep their area clean, feed them properly, make sure they get enough light","No, not really. Just keep their area clean, feed them properly, and make sure they get enough light. It's actually kind of fun.","64.28571428571429","57.14285714285714","-7.142857142857151","2026","2027","63303","61369","stop"
"conv-42:109","conv-42","109","4","What was Joanna's audition for?","writing gig","a writing gig","a writing gig","100","100","0","2034","2047","63303","61369","stop"
"conv-42:110","conv-42","110","4","Why did Nate choose the hair color he did?","Bright and bold - like him","He wanted to stand out from the regular options.","He wanted to stand out from the regular options.","0","0","0","2047","2039","63303","61369","stop"
"conv-42:111","conv-42","111","4","What are the main ingredients of the ice cream recipe shared by Nate?","Coconut milk, vanilla extract, sugar, salt","coconut milk, vanilla extract, sugar, salt","coconut milk, vanilla extract, sugar, and a pinch of salt","100","85.71428571428571","-14.28571428571429","2015","2034","63303","61369","stop"
"conv-42:112","conv-42","112","4","What is Joanna's project called in the writers group?","""Finding Home""","Finding Home","Finding Home","100","100","0","1990","2029","63303","61369","stop"
"conv-42:113","conv-42","113","4","What is Nate's favorite genre of movies?","Fantasy and sci-fi","action, sci-fi, fantasy","action, sci-fi, fantasy","80","80","0","2009","2047","63303","61369","stop"
"conv-42:114","conv-42","114","4","What kind of books does Nate enjoy?","Adventures and magic","adventures, magic, and great characters","fantasy, sci-fi","66.66666666666666","0","-66.66666666666666","2028","2047","63303","61369","stop"
"conv-42:115","conv-42","115","4","What kind of films does Joanna enjoy?","Dramas and emotionally-driven films","dramas and emotionally-driven films","dramas, emotionally-driven films, romcoms","100","85.71428571428571","-14.28571428571429","2040","2044","63303","61369","stop"
"conv-42:116","conv-42","116","4","Which activity helps Nate escape and stimulates his imagination?","watching fantasy and sci-fi movies","Playing video games","Playing video games","0","0","0","2040","2026","63303","61369","stop"
"conv-42:117","conv-42","117","4","What filling did Joanna use in the cake she made recently in May 2022?","strawberry","strawberry","strawberry","100","100","0","2001","2048","63303","61369","stop"
"conv-42:118","conv-42","118","4","What kind of frosting did Joanna use on the cake she made recently in May 2022?","coconut cream","white frosting, strawberry filling, and coconut cream frosting","white frosting, strawberry filling, and coconut cream frosting","44.44444444444444","44.44444444444444","0","1988","2045","63303","61369","stop"
"conv-42:119","conv-42","119","4","What does Nate feel he could do when out in cool places like Whispering Falls?","write a whole movie","write a whole movie","write a whole movie","100","100","0","2004","2028","63303","61369","stop"
"conv-42:120","conv-42","120","4","What creative activity does Nate joke about pursuing after being inspired by their hikes with Jo?","Start thinking about a drama and publish a screenplay","thinking about my life or new recipes","starting a cork board","30.76923076923077","22.22222222222222","-8.54700854700855","2012","2042","63303","61369","stop"
"conv-42:121","conv-42","121","4","Who invited Nate to join her on the trails sometime?","Joanna","Joanna","Joanna","100","100","0","2009","2038","63303","61369","stop"
"conv-42:122","conv-42","122","4","What did Nate do for Joanna on 25 May, 2022?","get her a stuffed animal","Nate stated that he is there to support Joanna.","Sent a photo of a stuffed animal, explained the stuffed animal is intended to remind Joanna of good vibes, and stated that the couple he met did not share a whole lot in common with him besides the love of animals.","0","10.526315789473683","10.526315789473683","2027","2038","63303","61369","stop"
"conv-42:123","conv-42","123","4","How does Nate describe the stuffed animal he got for Joanna?","A stuffed animal to remind you of the good vibes","to remind you of the good vibes","to remind you of the good vibes","85.71428571428571","85.71428571428571","0","2045","2026","63303","61369","stop"
"conv-42:124","conv-42","124","4","What event is Nate organizing in June 2022?","A gaming party","gaming party","gaming party","100","100","0","1972","2030","63303","61369","stop"
"conv-42:125","conv-42","125","4","Who did Nate plan to invite to his gaming party in June 2022?","Tournament friends, old friends, teammates","old friends and teammates from other tournaments","old friends, teammates from other tournaments, tournament friends","72.72727272727273","76.92307692307693","4.1958041958041985","2040","2047","63303","61369","stop"
"conv-42:126","conv-42","126","4","What special items did Nate get for everyone at his gaming party?","Custom controller decorations","custom controller decorations","custom controller decorations","100","100","0","2015","2042","63303","61369","stop"
"conv-42:127","conv-42","127","4","What did Joanna write yesterday that appeared on the big screen?","screenplay bits","movie script","bits for a screenplay","0","80","80","2040","2041","63303","61369","stop"
"conv-42:128","conv-42","128","4","What superhero is Joanna a fan of?","Spider-Man","Spider-Man","Spider-Man","100","100","0","1998","2029","63303","61369","stop"
"conv-42:129","conv-42","129","4","Which superhero toy figure does Nate share a photo of?","Iron Man","Iron Man","Iron Man","100","100","0","1989","2045","63303","61369","stop"
"conv-42:130","conv-42","130","4","What is displayed on Joanna's cork board for motivation and creativity?","inspiring quotes, photos, and little keepsakes","inspiring quotes, pictures, photos, little keepsakes","quotes, photos, and little keepsakes","90.9090909090909","88.88888888888889","-2.020202020202022","2047","2028","63303","61369","stop"
