id,method,category,question,gold_answer,generated_answer,official_f1,judge_label
Mem0/conv-41:121,Mem0,4,How did the flood impact the homes in John's old area?,Lots of homes were ruined.,They were ruined due to poor infrastructure.,0.3333333333333333,CORRECT
SimpleMem/conv-41:121,SimpleMem,4,How did the flood impact the homes in John's old area?,Lots of homes were ruined.,They were ruined due to poor infrastructure.,0.3333333333333333,CORRECT
Naive/conv-41:122,Naive,4,"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",Flood in John's old area,A nasty flood,0.28571428571428575,CORRECT
HiGMem/conv-41:122,HiGMem,4,"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",Flood in John's old area,"John informed Maria that his old area was hit by a nasty flood last week, damaging homes and highlighting the need to fix things up in their community.",0.33333333333333337,CORRECT
E-Mem/conv-41:122,E-Mem,4,"What motivated Maria and John to discuss potential solutions for their community on 7 July, 2023?",Flood in John's old area,A nasty flood that ruined homes due to poor infrastructure.,0.14285714285714285,CORRECT
A-MEM/conv-41:124,A-MEM,4,What kind of activities did Maria do at the picnic with her church friends?,played games like charades and a scavenger hunt,"They chilled under the trees, played games, and ate yummy food.",0.26666666666666666,CORRECT
HiGMem/conv-41:124,HiGMem,4,What kind of activities did Maria do at the picnic with her church friends?,played games like charades and a scavenger hunt,"chilled under the trees, played games, and ate yummy food",0.28571428571428575,CORRECT
Mem0/conv-41:125,Mem0,4,What does John appreciate about the veteran's hospital visit?,the resilience of the veterans and their inspiring stories,The eye-opening experience of meeting amazing people.,0.16666666666666666,CORRECT
LightMem_official/conv-41:125,LightMem_official,4,What does John appreciate about the veteran's hospital visit?,the resilience of the veterans and their inspiring stories,He found it eye-opening and inspiring.,0.1818181818181818,CORRECT
s_parent_single_2000/conv-41:125,s_parent_single_2000,4,What does John appreciate about the veteran's hospital visit?,the resilience of the veterans and their inspiring stories,seeing their resilience,0.4444444444444444,CORRECT
Mem0/conv-41:126,Mem0,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,The importance of helping veterans.,0.0,CORRECT
A-MEM/conv-41:126,A-MEM,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,He appreciated what they have and the need to give back.,0.46153846153846156,CORRECT
LangMem/conv-41:126,LangMem,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,He appreciated what veterans have and felt a need to give back.,0.4285714285714285,CORRECT
SimpleMem/conv-41:126,SimpleMem,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,He realized how important it is to help veterans.,0.0,CORRECT
LightMem_official/conv-41:126,LightMem_official,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,He found it eye-opening and inspiring.,0.0,CORRECT
HiGMem/conv-41:126,HiGMem,4,What did John take away from visiting the veteran's hospital?,appreciation for giving back,It made me appreciate what we have and the need to give back.,0.39999999999999997,CORRECT
Naive/conv-41:127,Naive,4,Why did John feel inspired to join the military after the visit to the hospital?,seeing the resilience of the veterans,hearing stories from an elderly veteran named Samuel,0.18181818181818182,CORRECT
LangMem/conv-41:127,LangMem,4,Why did John feel inspired to join the military after the visit to the hospital?,seeing the resilience of the veterans,The stories of resilience and heartbreak he heard from elderly veterans.,0.46153846153846156,CORRECT
HiGMem/conv-41:127,HiGMem,4,Why did John feel inspired to join the military after the visit to the hospital?,seeing the resilience of the veterans,seeing their resilience really filled me with hope,0.3333333333333333,CORRECT
E-Mem/conv-41:127,E-Mem,4,Why did John feel inspired to join the military after the visit to the hospital?,seeing the resilience of the veterans,Hearing stories from an elderly veteran named Samuel.,0.18181818181818182,CORRECT
LightMem_official/conv-41:128,LightMem_official,4,In what activity did Maria and her church friends participate in July 2023?,hiking,Hiking with church friends,0.4,CORRECT
Naive/conv-41:129,Naive,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,It keeps things interesting,0.0,CORRECT
Mem0/conv-41:129,Mem0,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He thinks it is a great way to push himself and mix things up.,0.34782608695652173,CORRECT
A-MEM/conv-41:129,A-MEM,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He finds them awesome and relaxing.,0.0,CORRECT
LangMem/conv-41:129,LangMem,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He appreciates the variety and finds it keeps things interesting.,0.0,CORRECT
SimpleMem/conv-41:129,SimpleMem,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He finds them challenging but peaceful.,0.0,CORRECT
LightMem_official/conv-41:129,LightMem_official,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He thinks it's great for mixing things up.,0.10526315789473685,CORRECT
E-Mem/conv-41:129,E-Mem,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,He thinks it's awesome and a great way to push himself and mix things up.,0.2608695652173913,CORRECT
s_parent_single_2000/conv-41:129,s_parent_single_2000,4,What does John think about trying new classes at the yoga studio?,Trying new classes is a fun way to switch up the exercise routine.,It keeps things interesting,0.0,CORRECT
HiGMem/conv-41:131,HiGMem,4,"What community service did Maria mention that she was involved in on 31 July, 2023?",volunteered at a homeless shelter,dropped off that stuff I baked at the homeless shelter,0.46153846153846156,CORRECT
Naive/conv-41:133,Naive,4,"What did John do the week before August 3, 2023 involving his kids?",Had a meaningful experience at a military memorial,took them to a military memorial,0.3636363636363636,CORRECT
LangMem/conv-41:133,LangMem,4,"What did John do the week before August 3, 2023 involving his kids?",Had a meaningful experience at a military memorial,He visited a veteran's hospital and took his kids to a military memorial.,0.25,CORRECT
E-Mem/conv-41:133,E-Mem,4,"What did John do the week before August 3, 2023 involving his kids?",Had a meaningful experience at a military memorial,He took his kids to a military memorial.,0.30769230769230765,CORRECT
LangMem/conv-41:135,LangMem,4,Why does Maria think it's important for younger generations to visit military memorials?,To remember and appreciate those who served,To expose children to patriotic and commemorative experiences.,0.15384615384615383,CORRECT
Mem0/conv-41:136,Mem0,4,What does John believe is important for children regarding veterans?,Teaching them to respect and appreciate those who served,Teaching them about veterans and their sacrifices.,0.28571428571428575,CORRECT
A-MEM/conv-41:136,A-MEM,4,What does John believe is important for children regarding veterans?,Teaching them to respect and appreciate those who served,Teaching them about veterans and what they did for us.,0.23529411764705882,CORRECT
LangMem/conv-41:136,LangMem,4,What does John believe is important for children regarding veterans?,Teaching them to respect and appreciate those who served,Exposing them to patriotic and commemorative experiences.,0.28571428571428575,CORRECT
s_parent_single_2000/conv-41:136,s_parent_single_2000,4,What does John believe is important for children regarding veterans?,Teaching them to respect and appreciate those who served,It's super important to teach kids about veterans and what they did for us.,0.1904761904761905,CORRECT
Mem0/conv-41:137,Mem0,4,What happened to John's job in August 2023?,John lost his job at the mechanical engineering company.,He lost it.,0.18181818181818182,CORRECT
A-MEM/conv-41:138,A-MEM,4,What activity did Maria take up with her friends from church in August 2023?,community work,No activity with church friends in August 2023; she volunteered at a homeless shelter and participated in charity events.,0.0,CORRECT
LightMem_official/conv-41:142,LightMem_official,4,What recognition did Maria receive at the homeless shelter in August 2023?,a medal for volunteering,She received a medal for her help.,0.4444444444444444,CORRECT
LightMem_official/conv-41:143,LightMem_official,4,"What is the name of Maria's puppy she got two weeks before August 11, 2023?",Coco,The puppy's name is Coco.,0.4,CORRECT
LightMem_official/conv-41:144,LightMem_official,4,What activity did John and Max enjoy together last summer?,Camping,Camping trip with hiking and swimming,0.33333333333333337,CORRECT
A-MEM/conv-41:145,A-MEM,4,How does John describe the camping trip with Max?,Peaceful and awesome,"He had a blast, hiked, swam, and made great memories.",0.0,CORRECT
LightMem_official/conv-41:145,LightMem_official,4,How does John describe the camping trip with Max?,Peaceful and awesome,John had a blast on the trip.,0.0,CORRECT
Mem0/conv-41:146,Mem0,4,Why does John say he feels stuck and questioning his decisions and goals?,Not feeling like making much of an impact,He feels overwhelmed and sometimes doubts if he is making a difference.,0.23529411764705882,CORRECT
A-MEM/conv-41:146,A-MEM,4,Why does John say he feels stuck and questioning his decisions and goals?,Not feeling like making much of an impact,He faced self-doubt and questioned if he was on the right track.,0.0,CORRECT
LangMem/conv-41:146,LangMem,4,Why does John say he feels stuck and questioning his decisions and goals?,Not feeling like making much of an impact,He feels stuck and questioning his decisions and goals because he doubts his impact.,0.2105263157894737,CORRECT
Mem0/conv-41:149,Mem0,4,What is John currently doing as a volunteer in August 2023?,mentoring students at a local school,John is volunteering as a mentor for a local school.,0.4615384615384615,CORRECT
Mem0/conv-41:150,Mem0,4,What activities does John's family enjoy doing together?,"going for hikes, hanging out at the park, having picnics, playing board games, having movie nights","Hiking, park hangouts, picnics, live music events, and road trips.",0.25,CORRECT
LangMem/conv-41:150,LangMem,4,What activities does John's family enjoy doing together?,"going for hikes, hanging out at the park, having picnics, playing board games, having movie nights","Park visits, picnics, walks, and community events.",0.19047619047619044,CORRECT
A-MEM/conv-42:0,A-MEM,3,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,"Yes, he has old friends and teammates from other tournaments.",0.0,CORRECT
LightMem_official/conv-42:0,LightMem_official,3,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,"Yes, Nate has other friends.",0.0,CORRECT
HiGMem/conv-42:0,HiGMem,3,Is it likely that Nate has friends besides Joanna?,Yesteammates on hisvideo game team.,some old friends,0.0,CORRECT
Naive/conv-42:1,Naive,1,What kind of interests do Joanna and Nate share?,"Watching movies, making desserts",movies,0.3333333333333333,CORRECT
A-MEM/conv-42:2,A-MEM,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,Around 3 years ago.,0.0,CORRECT
SimpleMem/conv-42:2,SimpleMem,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,Around 3 years ago.,0.0,CORRECT
LightMem_official/conv-42:2,LightMem_official,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,"Around 3 years after Jan 21, 2022.",0.0,CORRECT
HiGMem/conv-42:2,HiGMem,2,"When did Joanna first watch ""Eternal Sunshine of the Spotless Mind?",2019,around 3 years ago,0.0,CORRECT
Naive/conv-42:3,Naive,2,When did Nate win his first video game tournament?,"the week before 21Janury, 2022",21 January 2022,0.28571428571428575,CORRECT
A-MEM/conv-42:3,A-MEM,2,When did Nate win his first video game tournament?,"the week before 21Janury, 2022","Last week (relative to January 21, 2022).",0.36363636363636365,CORRECT
SimpleMem/conv-42:3,SimpleMem,2,When did Nate win his first video game tournament?,"the week before 21Janury, 2022",Last week of January 2022.,0.4444444444444445,CORRECT
HiGMem/conv-42:3,HiGMem,2,When did Nate win his first video game tournament?,"the week before 21Janury, 2022","21 January, 2022",0.28571428571428575,CORRECT
A-MEM/conv-42:4,A-MEM,3,What pets wouldn't cause any discomfort to Joanna?,"Hairless cats or pigs,since they don't have fur, which is one of the main causes of Joanna's allergy.",Pets she is not allergic to.,0.08695652173913045,CORRECT
Naive/conv-42:5,Naive,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","writing, reading, watching movies, exploring nature",0.25,CORRECT
Mem0/conv-42:5,Mem0,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","Writing, cooking, baking, and exploring nature.",0.25,CORRECT
A-MEM/conv-42:5,A-MEM,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","Reading, watching movies, nature, hiking, and gaming.",0.0,CORRECT
LangMem/conv-42:5,LangMem,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","Writing, reading, watching movies, and exploring nature.",0.25,CORRECT
SimpleMem/conv-42:5,SimpleMem,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","Writing, reading, watching movies, and exploring nature.",0.25,CORRECT
E-Mem/conv-42:5,E-Mem,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","Writing, reading, watching movies, exploring nature, hiking, hanging with friends, cooking, baking, collecting superhero memorabilia, and watching people play with animals.",0.35,CORRECT
s_parent_single_2000/conv-42:5,s_parent_single_2000,1,What are Joanna's hobbies?,"Writing, watchingmovies, exploringnature, hanging withfriends.","writing, reading, watching movies, exploring nature",0.25,CORRECT
LightMem_official/conv-42:6,LightMem_official,2,How long has Nate had his first two turtles?,three years,Since January 2022,0.0,CORRECT
HiGMem/conv-42:6,HiGMem,2,How long has Nate had his first two turtles?,three years,"since 5 September, 2022",0.0,CORRECT
A-MEM/conv-42:7,A-MEM,2,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022","Last Friday (Session 2, 23 January 2022).",0.36363636363636365,CORRECT
LangMem/conv-42:7,LangMem,2,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022","Last Friday, 23 January 2022",0.4444444444444445,CORRECT
LightMem_official/conv-42:7,LightMem_official,2,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022",23 January 2022,0.28571428571428575,CORRECT
HiGMem/conv-42:7,HiGMem,2,When did Joanna finish her first screenplay?,"The Friday before 23January, 2022","23 January, 2022",0.28571428571428575,CORRECT
Mem0/conv-42:8,Mem0,2,When did Nate get his first two turtles?,2019,3 years ago,0.0,CORRECT
A-MEM/conv-42:10,A-MEM,1,What emotions is Joanna feeling about  the screenplay she submitted?,"Relief, excitement,worry, hope,anxiety.",Excitement and anxiety.,0.26666666666666666,CORRECT
LightMem_official/conv-42:10,LightMem_official,1,What emotions is Joanna feeling about  the screenplay she submitted?,"Relief, excitement,worry, hope,anxiety.","Excited, hopeful, and anxious.",0.4,CORRECT
Naive/conv-42:11,Naive,1,What is Joanna allergic to?,"Most reptiles,animals with fur,cockroaches, dairy",most reptiles and animals with fur,0.33035714285714285,CORRECT
HiGMem/conv-42:11,HiGMem,1,What is Joanna allergic to?,"Most reptiles,animals with fur,cockroaches, dairy",most reptiles and animals with fur,0.33035714285714285,CORRECT
Naive/conv-42:13,Naive,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.",24 March 2022,0.6666666666666666,WRONG
A-MEM/conv-42:13,A-MEM,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.","24 March, 2022",0.6666666666666666,WRONG
LangMem/conv-42:13,LangMem,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.","March 24, 2022",0.6666666666666666,WRONG
SimpleMem/conv-42:13,SimpleMem,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.","March 24, 2022",0.6666666666666666,WRONG
LightMem_official/conv-42:13,LightMem_official,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.",24 March 2022,0.6666666666666666,WRONG
HiGMem/conv-42:13,HiGMem,2,When did Joanna have an audition for a writing gig?,"23 March, 2022.","24 March, 2022",0.6666666666666666,WRONG
Naive/conv-42:15,Naive,2,When did Nate get purple hair?,"The week before 15April, 2022.",15 April 2022,0.28571428571428575,CORRECT
A-MEM/conv-42:15,A-MEM,2,When did Nate get purple hair?,"The week before 15April, 2022.","Last week (Session 7, April 15, 2022).",0.36363636363636365,CORRECT
LangMem/conv-42:15,LangMem,2,When did Nate get purple hair?,"The week before 15April, 2022.","April 15, 2022",0.28571428571428575,CORRECT
SimpleMem/conv-42:15,SimpleMem,2,When did Nate get purple hair?,"The week before 15April, 2022.","Last week (relative to April 15, 2022).",0.36363636363636365,CORRECT
LightMem_official/conv-42:15,LightMem_official,2,When did Nate get purple hair?,"The week before 15April, 2022.","April 15, 2022",0.28571428571428575,CORRECT
E-Mem/conv-42:15,E-Mem,2,When did Nate get purple hair?,"The week before 15April, 2022.","April 8, 2022",0.28571428571428575,CORRECT
A-MEM/conv-42:16,A-MEM,2,What physical transformation did Nate undergo in April 2022?,dyed his hair purple,Nate got a purple hair dye.,0.4444444444444445,CORRECT
s_parent_single_2000/conv-42:19,s_parent_single_2000,1,How many times has Joanna found new hiking trails?,twice,2,0.0,CORRECT
LightMem_official/conv-42:21,LightMem_official,2,Who was the new addition to Nate's family in May 2022?,Max,Max was the new addition.,0.4,CORRECT
LightMem_official/conv-42:24,LightMem_official,2,When is Nate hosting a gaming party?,"The weekend after 3June, 2022.","June 17, 2022",0.28571428571428575,CORRECT
E-Mem/conv-42:24,E-Mem,2,When is Nate hosting a gaming party?,"The weekend after 3June, 2022.","June 18, 2022",0.28571428571428575,CORRECT
s_parent_single_2000/conv-42:24,s_parent_single_2000,2,When is Nate hosting a gaming party?,"The weekend after 3June, 2022.",24 June 2022,0.28571428571428575,CORRECT
Mem0/conv-42:25,Mem0,2,When did Joanna hike with her buddies?,"The weekend after 3June, 2022.",This weekend,0.3333333333333333,CORRECT
LangMem/conv-42:26,LangMem,2,When did Nate win his third tourney?,"The week before 3June, 2022","June 3, 2022",0.28571428571428575,CORRECT
HiGMem/conv-42:27,HiGMem,1,What places has Joanna submitted her work to?,"film contest, film festival.","film contest, production company",0.75,WRONG
Naive/conv-42:28,Naive,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",24 June 2022,0.28571428571428575,CORRECT
Mem0/conv-42:28,Mem0,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",Last Friday,0.3333333333333333,CORRECT
A-MEM/conv-42:28,A-MEM,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.","Last Friday (Session 16, June 24, 2022).",0.36363636363636365,CORRECT
LightMem_official/conv-42:28,LightMem_official,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",24 June 2022,0.28571428571428575,CORRECT
HiGMem/conv-42:28,HiGMem,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",last Friday,0.3333333333333333,CORRECT
E-Mem/conv-42:28,E-Mem,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.","June 17, 2022",0.28571428571428575,CORRECT
s_parent_single_2000/conv-42:28,s_parent_single_2000,2,When did Nate make vegan icecream and share it with a vegan diet group?,"The Friday before 24June, 2022.",24 June 2022,0.28571428571428575,CORRECT
Mem0/conv-42:29,Mem0,2,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",This weekend,0.3333333333333333,CORRECT
LightMem_official/conv-42:29,LightMem_official,2,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",24 June 2022,0.28571428571428575,CORRECT
HiGMem/conv-42:29,HiGMem,2,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",this weekend,0.3333333333333333,CORRECT
E-Mem/conv-42:29,E-Mem,2,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",This weekend.,0.3333333333333333,CORRECT
s_parent_single_2000/conv-42:29,s_parent_single_2000,2,When is Joanna going to make Nate's ice cream for her family?,"The weekend of 24June, 2022.",25 June 2022,0.28571428571428575,CORRECT
Naive/conv-42:30,Naive,1,What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal",screenplays,0.25,CORRECT
Mem0/conv-42:30,Mem0,1,What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal","Fiction, personal stories, and screenplays.",0.25,CORRECT
LangMem/conv-42:30,LangMem,1,What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal","Creative writing, including novels and screenplays.",0.125,CORRECT
HiGMem/conv-42:30,HiGMem,1,What kind of writings does Joanna do?,"Screenplays,books, online blog posts, journal",screenplay,0.25,CORRECT
Naive/conv-42:31,Naive,2,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.",10 July 2022,0.28571428571428575,CORRECT
LangMem/conv-42:31,LangMem,2,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.","July 10, 2022",0.28571428571428575,CORRECT
HiGMem/conv-42:31,HiGMem,2,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.","10 July, 2022",0.28571428571428575,CORRECT
E-Mem/conv-42:31,E-Mem,2,When did Nate win his fourth video game tournament?,"The Friday before 10July, 2022.","July 8, 2022",0.28571428571428575,CORRECT
Naive/conv-42:35,Naive,2,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",22 August 2022,0.28571428571428575,CORRECT
SimpleMem/conv-42:35,SimpleMem,2,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.","August 22, 2022",0.28571428571428575,CORRECT
LightMem_official/conv-42:35,LightMem_official,2,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",22 August 2022,0.28571428571428575,CORRECT
HiGMem/conv-42:35,HiGMem,2,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.","22 August, 2022",0.28571428571428575,CORRECT
s_parent_single_2000/conv-42:35,s_parent_single_2000,2,When did Nate take time off to chill with his pets?,"The weekend of 22August, 2022.",22 August 2022,0.28571428571428575,CORRECT
A-MEM/conv-42:36,A-MEM,2,When did Joanna share her book with her writers group?,"The week before 22August, 2022.","Last week (relative to August 22, 2022).",0.36363636363636365,CORRECT
s_parent_single_2000/conv-42:36,s_parent_single_2000,2,When did Joanna share her book with her writers group?,"The week before 22August, 2022.",22 August 2022,0.28571428571428575,CORRECT
Naive/conv-42:37,Naive,2,When did Nate win an international tournament?,"21 August, 2022",22 August 2022,0.6666666666666666,WRONG
A-MEM/conv-42:37,A-MEM,2,When did Nate win an international tournament?,"21 August, 2022","22 August, 2022",0.6666666666666666,WRONG
LightMem_official/conv-42:37,LightMem_official,2,When did Nate win an international tournament?,"21 August, 2022",22 August 2022,0.6666666666666666,WRONG
HiGMem/conv-42:37,HiGMem,2,When did Nate win an international tournament?,"21 August, 2022","22 August, 2022",0.6666666666666666,WRONG
LightMem_official/conv-42:38,LightMem_official,2,When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022","Last Friday, 14 September 2022.",0.4444444444444445,CORRECT
E-Mem/conv-42:38,E-Mem,2,When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022","September 9, 2022",0.28571428571428575,CORRECT
s_parent_single_2000/conv-42:38,s_parent_single_2000,2,When did Joanna make a desert with almond milk?,"The Friday before 14September, 2022",14 September 2022,0.28571428571428575,CORRECT
Naive/conv-42:40,Naive,2,When did Joanna's laptop crash?,"The week before 14September, 2022",14 September 2022,0.28571428571428575,CORRECT
LangMem/conv-42:40,LangMem,2,When did Joanna's laptop crash?,"The week before 14September, 2022","September 14, 2022",0.28571428571428575,CORRECT
SimpleMem/conv-42:40,SimpleMem,2,When did Joanna's laptop crash?,"The week before 14September, 2022","Last week (relative to September 14, 2022).",0.36363636363636365,CORRECT
LightMem_official/conv-42:40,LightMem_official,2,When did Joanna's laptop crash?,"The week before 14September, 2022",14 September 2022,0.28571428571428575,CORRECT
LangMem/conv-42:41,LangMem,2,When did Joanna make a chocolate tart with raspberries?,"5 October, 2022","October 6, 2022",0.6666666666666666,WRONG
Mem0/conv-42:42,Mem0,1,What movies have both Joanna and Nate seen?,"""Little Women"", ""Lord of the Rings""",The Lord of the Rings Trilogy,0.42857142857142855,CORRECT
HiGMem/conv-42:42,HiGMem,1,What movies have both Joanna and Nate seen?,"""Little Women"", ""Lord of the Rings""",The Lord of the Rings Trilogy,0.42857142857142855,CORRECT
A-MEM/conv-42:45,A-MEM,2,When did Joanna finish up the writing for her book?,"The week before 6October, 2022","Last week (relative to Session 22 on October 6, 2022).",0.28571428571428575,CORRECT
LangMem/conv-42:45,LangMem,2,When did Joanna finish up the writing for her book?,"The week before 6October, 2022",Last week of September 2022,0.4444444444444445,CORRECT
s_parent_single_2000/conv-42:45,s_parent_single_2000,2,When did Joanna finish up the writing for her book?,"The week before 6October, 2022",26 September 2022 to 2 October 2022,0.18181818181818182,CORRECT
Naive/conv-42:47,Naive,1,What places has Nate met new people?,A tournament and agaming convention.,a game convention,0.4,CORRECT
Mem0/conv-42:47,Mem0,1,What places has Nate met new people?,A tournament and agaming convention.,Game convention,0.4,CORRECT
LangMem/conv-42:47,LangMem,1,What places has Nate met new people?,A tournament and agaming convention.,A game convention,0.4,CORRECT
Naive/conv-42:48,Naive,2,When did Nate go to a convention and meet new people?,"The Friday before 9October, 2022.",9 October 2022,0.28571428571428575,CORRECT
LightMem_official/conv-42:48,LightMem_official,2,When did Nate go to a convention and meet new people?,"The Friday before 9October, 2022.","October 7, 2022 (last Friday).",0.4444444444444445,CORRECT
s_parent_single_2000/conv-42:48,s_parent_single_2000,2,When did Nate go to a convention and meet new people?,"The Friday before 9October, 2022.",9 October 2022,0.28571428571428575,CORRECT
Naive/conv-42:49,Naive,1,How many times has Joanna's scripts been rejected?,Twice,2,0.0,CORRECT
Naive/conv-42:50,Naive,1,What is something Nate gave to Joanna that brings her a lot of joy?,stuffed toy pup,a stuffed animal,0.4,CORRECT
Mem0/conv-42:50,Mem0,1,What is something Nate gave to Joanna that brings her a lot of joy?,stuffed toy pup,A stuffed animal,0.4,CORRECT
LangMem/conv-42:50,LangMem,1,What is something Nate gave to Joanna that brings her a lot of joy?,stuffed toy pup,A stuffed animal,0.4,CORRECT
LightMem_official/conv-42:53,LightMem_official,1,How many times has Nate taken his turtles on a walk?,Twice.,Two documented instances found.,0.0,CORRECT
Naive/conv-42:54,Naive,2,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",25 October 2022,0.28571428571428575,CORRECT
A-MEM/conv-42:54,A-MEM,2,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.","Last Sunday (Session 25, October 25, 2022).",0.36363636363636365,CORRECT
LangMem/conv-42:54,LangMem,2,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.","October 16, 2022",0.28571428571428575,CORRECT
LightMem_official/conv-42:54,LightMem_official,2,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.",25 October 2022,0.28571428571428575,CORRECT
E-Mem/conv-42:54,E-Mem,2,When was Joanna's second movie script shown on the big screens?,"The Sunday before 25October, 2022.","October 23, 2022",0.28571428571428575,CORRECT
Naive/conv-42:55,Naive,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination",nature,0.1111111111111111,CORRECT
Mem0/conv-42:55,Mem0,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination","Nature, personal experiences, and stories about finding courage and taking risks.",0.26666666666666666,CORRECT
SimpleMem/conv-42:55,SimpleMem,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination","Personal experiences, her own journey of self-discovery, people she knows, things she sees, and her own imagination.",0.4185185185185185,CORRECT
LightMem_official/conv-42:55,LightMem_official,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination",Nature and personal experiences.,0.14444444444444446,CORRECT
HiGMem/conv-42:55,HiGMem,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination",personal experiences and my own journey of self-discovery,0.08641975308641975,CORRECT
E-Mem/conv-42:55,E-Mem,1,What is Joanna inspired by?,"Personal experiences,her own journey ofself discovery, Nate,nature, validation,stories about findingcourage and takingrisks, people she knows, stuff she sees, imagination","Nature, her bookshelf, Nate's boldness, stories about courage, dreams, and positive feedback from an actor.",0.2804232804232804,CORRECT
LangMem/conv-42:57,LangMem,2,When did Joanna plan to go over to Nate's and share recipes?,"5 November, 2022.","November 4, 2022",0.6666666666666666,WRONG
LightMem_official/conv-42:57,LightMem_official,2,When did Joanna plan to go over to Nate's and share recipes?,"5 November, 2022.",09 November 2022,0.6666666666666666,WRONG
